,0
13620,Afifah Afra
4674,Afkham Darbandi
64,Agatha Christie
15291,Agatha Christie Mallowan
28324,Agathe Nabet
14583,Agnes F. Vandome
11072,Agnes Jessica
11953,Agnes Moncy Gullón
3523,Agnes Sanford
12448,Agnes Sims
20453,Agnes Tickheathen
18496,Agnes Vishnevkin
10609,Agnete Friis
14250,Agnieszka Glinczanka
15352,Agnieszka Kalus
13229,Agnieszka Kołakowska
12939,Agnolo di Cosimo Bronzino
10222,Agostino Perani
27312,Agus Morales
19007,Agus Noor
28763,Agustina Bazterrica
11324,Agustina Bessa-Luís
3818,Agustinus Wibowo
13633,Agustí Vehí
7054,Agustín Fernández Paz
26637,Agustín Gómez-Arcos
4786,Ahdaf Soueif
3089,Ahmad Adil Kamal
24104,Ahmad Baari
16314,Ahmad Fuadi
913,Ahmadou Kourouma
21467,Ahmed Faiyaz
23138,Ahmed H. Zewail
18823,Ahmed Ibn Mohammed Makkari
17097,Ahmed Masoud
1654,Ahmed Oseni
17573,Ahmed Rashid
1810,Ahmet Cemal
17635,Ahmet Hamdi Tanpınar
22168,Ai
18520,Ai Aoki
3302,Ai Hasukawa
12809,Ai Mi
7693,Ai Ninomiya
17611,Ai Takai
3603,Ai Yasufuku
18935,Ai Yazawa
16770,Aida Candelario Castro
14728,Aida D. Donald
7466,Aidan Chambers
14476,Aidan Higgins
6584,Aidan Macfarlane
9573,Aidan Willows
15779,Aiden Bates
413,Aiden James
12485,Aiden Shaw
27774,Aiden Thomas
25107,Aiko Ito
8391,Aileen Erin
27456,Aileen Fish
5094,Aileen Morris
20713,Aileen Ribeiro
11175,Aim Ruivivar
14331,Aimee Agresti
28388,Aimee Alexander
11210,Aimee Bender
15312,Aimee Cabo Nikolov
3545,Aimee Carter
9574,Aimee Friedman
28175,Aimee Horne
18554,Aimee Lewis
25951,Aimee Major-Steinberger
28296,Aimee Molloy
6860,Aimee Mullins
28396,Aimee Nezhukumatathil
23432,Aimee Said
28341,Aimie K. Runyan
2795,Aimé Césaire
3730,Aimée Warmerdam
21264,Ain Maisarah
3214,Aina Emir
18431,Aino Kallas
21007,Ainsley Shay
12730,Airicka Phoenix
7799,Ais
6386,Aisha Ahmad
24941,Aisha Linnea
21883,Aisha Saeed
22666,Aisha Tritle
10320,Aistė Vilkaitė
18182,Aisya Sofea
12455,Ajay Nair
20651,Aji Prasetyo
14872,Ajip Rosidi
21806,Akanksha Suresh
6426,Akasha Gloria Hull
28694,Akemi Dawn Bowman
26251,Akhil   Sharma
19144,Akiane Kramarik
9306,Akif Pirinçci
3461,Akihiro Yamada
14560,Akiko Higashimura
13512,Akira Amano
8194,Akira Himekawa
14825,Akira Toriyama
11251,Akira Watanabe
26700,Akmal Aziz
28382,Akwaeke Emezi
13227,Al Barrionuevo
538,Al Berto
19693,Al Capp
5639,Al Dempster
19351,Al Franken
8884,Al Gore
7809,Al Mayton
15469,Al Naclerio
17568,Al Perkins
18168,Al Ries
4130,Al Robertson
3397,Al Sarrantonio
10336,Al Strachan
8575,Al Switzler
18846,Al Taliaferro
3834,Al Williamson
4668,Aladdin Elaasar
28017,Alafair Burke
19260,Alain Badiou
15842,Alain Corbin
19993,Alain Damasio
19069,Alain Daniélou
17330,Alain Defossé
24918,Alain Erlande-Brandenburg
11164,Alain Pages
11900,Alain Robbe-Grillet
23794,Alain Soral
923,Alain de Botton
8240,Alan  Dale
1932,Alan  Lee
4042,Alan  Watt
15616,Alan Alda
24856,Alan Alop
4000,Alan Bennett
7854,Alan Black
9370,Alan Blair
5501,Alan Bleasdale
3985,Alan Bradley
2731,Alan Brennert
18559,Alan Brooke
7794,Alan Brown
17218,Alan Bullock
24942,Alan C. Martin
13214,Alan Campbell
22016,Alan Chapman
10227,Alan Cohen
8534,Alan Davis
4091,Alan Dean Foster
25742,Alan Drury
17943,Alan Duff
5022,Alan Furst
21856,Alan G. Thomas
1332,Alan Garner
9407,Alan Gordon
23245,Alan Grant
12250,Alan Gratz
10639,Alan Greenspan
23502,Alan Greig
20920,Alan H. Sommerstein
7036,Alan Hollinghurst
14863,Alan Jacobson
4735,Alan Jolis
10302,Alan Kesselheim
23108,Alan L. Pritz
5863,Alan MacDonald
12744,Alan Manford
2471,Alan Moore
13270,Alan Myers
23259,Alan Parry
14145,Alan Partridge
2589,Alan R. Clarke
6872,Alan Rabinowitz
16615,Alan Rich
11705,Alan Richardson
4154,Alan Russell
18320,Alan S. Blinder
23591,Alan S. Fedrick
10458,Alan Sharp
249,Alan Sheridan
26105,Alan Silberberg
11351,Alan Sillitoe
9217,Alan Silvestri
24685,Alan Snow
15477,Alan Sokal
17764,Alan Spence
18207,Alan Steinberg
27299,Alan Strachan
9281,Alan Tiegreen
14253,Alan Turney
17976,Alan W. Watts
21971,Alan Warner
4966,Alan Weisman
3669,Alan de Queiroz
25184,Alandra Blume
4710,Alane Salierno Mason
1195,Alanea Alder
5450,Alaric Longward
3593,Alasdair Gray
21926,Alastair  Henry
4394,Alastair Fowler
14343,Alastair Hannay
18049,Alastair Macartney
12938,Alastair McEwen
17403,Alastair Muir
17666,Alastair Puddick
1359,Alastair Reid
12045,Alastair Reynolds
23636,Alastair Smith
27475,Alaya Dawn Johnson
23630,Alban Orsini
25957,Albert Agut
26475,Albert B. Facey
16316,Albert Borris
23892,Albert Bryce Hanner
456,Albert Camus
10954,Albert Cohen
24548,Albert E. Stone
1855,Albert Einstein
22270,Albert Ellis
12000,Albert Espinosa
25647,Albert French
24035,Albert Hofmann
8104,Albert Hofstadter
917,Albert J. Nimeth
10660,Albert Jay Nock
26199,Albert John Asaro
19166,Albert Kivikas
3330,Albert Murray
23342,Albert Nolla
9175,Albert Payson Terhune
17149,Albert R. Hibbs
6019,Albert Schweitzer
19543,Albert Speer
19904,Albert Stanburrough Cook
24672,Albert Sánchez Piñol
24595,Albert Taylor
543,Albert Uderzo
28719,Albert Woodfox
22937,Albert van Helden
11552,Albert-László Barabási
24810,Alberto Becattini
21597,Alberto Fuguet
8958,Alberto Manguel
2173,Alberto Moravia
26302,Alberto Méndez
26454,Alberto Rojas
12985,Alberto Santos-Dumont
3359,Alberto Villarreal
19091,Alberto Vázquez
11710,Alberto Vázquez-Figueroa
22293,Albus Dumbledore
25469,Alcatraz Dey
21111,Alcinda Marinho
22594,Alcoholics Anonymous
13109,Alden Bell
21986,Alden M. Hayashi
24182,Aldis James
23442,Aldo Nove
25851,Aldona Możdżyńska
344,Aldous Huxley
1951,Aleatha Romig
17585,Alecos Papadatos
4359,Aleister Crowley
7339,Aleix Montoto
1609,Aleja Bennett
13500,Alejandra Pizarnik
16234,Alejandro   Morales
7172,Alejandro Casona
12155,Alejandro Jodorowsky
22356,Alejandro Lanoël-d' Aussenac
11563,Alejo Carpentier
28428,Aleksandar Hemon
20295,Aleksander Fredro
22829,Aleksander Kamiński
24,Aleksander Wat
16139,Aleksandr Kuprin
18817,Aleksandr Ostrovsky
5864,Aleksandr Solzhenitsyn
2167,Aleksandr Voinov
5398,Aleksandra Ruda
12471,Aleksey Ivanov
6750,Aleksey Nikolayevich Tolstoy
20113,Aleksis Kivi
27225,Alena Dillon
16697,Alena Mornštajnová
23042,Alephonsion Deng
84,Aleron Kong
7038,Alesana Marie
25636,Alessandra Balzer
28778,Alessandra Hazard
5577,Alessandra Neymar
12968,Alessandra Papa
8213,Alessandra Petrelli
1018,Alessandra Torre
7738,Alessandro Baricco
24155,Alessandro Boccaletti
17619,Alessandro D'Avenia
21146,Alessandro Reale
22830,Alessia Martusciello
14459,Alessia Weil
24975,Alessio Puleo
3687,Aleta L. Williams
21745,Alethea Black
13719,Alethea Kontis
176,Alethea Nibley
23880,Alex    Myers
13175,Alex   Sanchez
21286,Alex  Harris
26368,Alex  Woolf
17075,Alex Adams
365,Alex Archer
13563,Alex Bell
16550,Alex Benedict
21588,Alex Berenson
10503,Alex Bledsoe
6823,Alex Dumitrescu
817,Alex Duval
9491,Alex Evanovich
14929,Alex Flinn
8094,Alex Garland
27971,Alex George
25935,Alex Gino
9831,Alex Gottdank
26007,Alex Grey
21436,Alex Haley
24272,Alex Hirsch
5500,Alex Kava
26295,Alex Kershaw
19771,Alex Kurtagic
27985,Alex Landragin
27628,Alex Light
21866,Alex London
15682,Alex Lucian
26308,Alex Lux
24495,Alex Malarkey
21501,Alex Marwood
23377,Alex McAulay
19131,Alex McVey
28213,Alex Michaelides
10481,Alex Miranda
27350,Alex Norris
27351,Alex North
18550,Alex Nunns
19136,Alex Otti
27469,Alex Pavesi
14896,Alex Puvilland
7200,Alex Ross
3700,Alex Scarrow
25731,Alex Segura
24538,Alex Shearer
6612,Alex Sinclair
8286,Alex Thomas Davis
28375,Alex Trebek
16168,Alex Tresniowski
23826,Alexa Albert
16068,Alexa Chung
27834,Alexa Donne
8925,Alexa Grace
10313,Alexa Land
2261,Alexa Riley
8373,Alexai Galaviz-Budziszewski
17669,Alexander   Mackenzie
26035,Alexander Afanasyev
26037,Alexander Alexeieff
20548,Alexander Barton Woodside
1966,Alexander Belyaev
16738,Alexander Berkman
17462,Alexander Betts
10720,Alexander Boldizar
10062,Alexander C. Irvine
22710,Alexander Cordell
11889,Alexander Dawe
397,Alexander Dolgun
26598,Alexander Dru
3620,Alexander Foreman
25336,Alexander Gallardo
445,Alexander Gordon Smith
12570,Alexander Griggs-Burr
17348,Alexander Hamilton
2032,Alexander Kent
11715,Alexander Key
18942,Alexander L. Lacson
18749,Alexander Masters
9223,Alexander McCall Smith
28798,Alexander Münninghoff
1665,Alexander O. Smith
6006,Alexander Pope
4232,Alexander Pushkin
5913,Alexander Shulgin
22734,Alexander Solschenizyn
26845,Alexander Stille
11466,Alexander Stillmark
15580,Alexander Teixeira de Mattos
3241,Alexander Theroux
26798,Alexander Weinstein
1640,Alexander Wolfram
19378,Alexandra Adornetto
17320,Alexandra Ainsworth
6033,Alexandra Boiger
12162,Alexandra Bracken
14460,Alexandra Cade
27324,Alexandra Chang
3025,Alexandra Christo
23015,Alexandra David-Néel
8949,Alexandra Ernst
14581,Alexandra Fuller
28378,Alexandra Horowitz
24629,Alexandra Iff
1766,Alexandra Ivy
26101,Alexandra Kranefeld
11473,Alexandra Leirissa Yunadi
14579,Alexandra Monir
76,Alexandra Potter
19373,Alexandra Rowan
27541,Alexandra Rowland
8192,Alexandra von Grote
710,Alexandre Dumas
17750,Alexandre Dumas fils
13565,Alexandre Herculano
26476,Alexandre Hubner
15287,Alexandre Martins
1897,Alexandre Najjar
9662,Alexandre Raposo
10528,Alexandria Ayers
28035,Alexandria Bellefleur
22031,Alexandria Michelle
22319,Alexandru Mitru
25608,Alexei A. Sharov
5948,Alexei Maxim Russell
2909,Alexei Panshin
9977,Alexey K. Levykin
16925,Alexia Praks
17679,Alexia Purdy
10252,Alexis  Hall
28405,Alexis Bass
27412,Alexis Coe
27662,Alexis Daria
6435,Alexis De Veaux
25509,Alexis Frederick-Fost
27203,Alexis Henderson
21484,Alexis Lykiard
18947,Alexis Marie Chute
15150,Alexis Morgan
2360,Alexis Pauline Gumbs
11697,Alexis Rockman
28730,Alexis Schaitkin
281,Alexis Siegel
19395,Aleya Aneesa
7717,Aleš Kot
20112,Alfons Taryadi
22471,Alfonso Mateo-Sagasta
17902,Alfred Adler
26921,Alfred Appel
628,Alfred Bester
3980,Alfred Birnbaum
7985,Alfred Bruce Douglas
10433,Alfred Hitchcock
19789,Alfred J. Mac Adam
22382,Alfred J. Wyatt
10106,Alfred Jarry
2911,Alfred Lansing
6747,Alfred MacAdam
26106,Alfred Noyes
10556,Alfred Tennyson
22283,Alfred de Musset
16722,Alfredo Alcalá
7668,Alfredo Bryce Echenique
17147,Alfredo Colitto
4760,Alfredo Véa
6352,Algan Sezgintüredi
15666,Algar Thorold
4845,Algernon Blackwood
16134,Algis Budrys
4841,Ali Al Shihabi
787,Ali Benjamin
9426,Ali Berktay
26410,Ali Cevat Akkoyunlu
17183,Ali Cronin
9567,Ali Cross
2318,Ali Harris
15971,Ali Kaftan
6812,Ali Land
24652,Ali Liebegott
25866,Ali Marsman
1252,Ali McNamara
1643,Ali Novak
28521,Ali Nuri
19510,Ali Sethi
11355,Ali Shaw
6007,Ali Smith
16252,Ali Sparkes
15475,Ali Teoman
5120,Ali Vali
3760,Ali Volkan Erdemir
16716,Ali Winters
27896,Ali Wong
17092,Ali Çakır
16680,Alia Mamdouh
23818,AliaZalea
23905,Alice  Miller
28023,Alice  Wong
24118,Alice Ball Breuer
9522,Alice Batchelor Hambright
4316,Alice Borchardt
2765,Alice Buelow
15182,Alice Calaprice
4157,Alice Caldwell Hegan Rice
4843,Alice Clayton
24023,Alice Dalgliesh
446,Alice Domurat Dreger
27362,Alice Feeney
2824,Alice Flemrová
2957,Alice Hoffman
21603,Alice Jamieson
19043,Alice Kuipers
11281,Alice LaPlante
26149,Alice Lamont
26961,Alice Martin
11725,Alice May Brock
21310,Alice McDermott
19566,Alice McLerran
22079,Alice Montgomery
26810,Alice Moss
3419,Alice Munro
13694,Alice Năstase Buciuta
14039,Alice O. Howell
6299,Alice Oseman
15479,Alice Peterson
982,Alice Pope
16895,Alice Quinn
4711,Alice Sebold
6294,Alice Steinbach
14518,Alice Thomas Ellis
26975,Alice Tribue
13278,Alice W. Flaherty
5572,Alice Wakely
6448,Alice Walker
19521,Alicia  Rose
16787,Alicia Bay Laurel
19317,Alicia Buelow
13387,Alicia Dellepiane Rawson
16861,Alicia Erian
28251,Alicia Garza
21412,Alicia Howard
27945,Alicia Jasinska
27977,Alicia Keys
24952,Alicia L. Wright
15145,Alicia Rades
13513,Alicia Rae
21112,Alicia Suskin Ostriker
13127,Alicia Tyszkiewicz
411,Alicia Vikander
19029,Aliette de Bodard
23223,Alina Haizar
23832,Alina-Nicoleta Ioan
25003,Aline Hunter
17882,Aline Ohanesian
23392,Alinka Rutkowska
12907,Alisa Craig
26197,Alisa Kwitney
967,Alisa Mullen
23254,Alisa Persons
1484,Alisa Valdes
1485,Alisa Valdes-Rodriguez
9393,Alisa Woods
17969,Alisha Lolk
27953,Alisha Rai
28277,Alison  Stuart
16005,Alison Allen-Gray
14665,Alison Anderson
19512,Alison Arngrim
8729,Alison Bechdel
7588,Alison Bliss
26205,Alison Cherry
14717,Alison Coleman
1017,Alison Croggon
5142,Alison G. Bailey
24168,Alison Gillespie
16999,Alison Goodman
27895,Alison Hammer
18913,Alison Hart
1435,Alison Littlewood
9580,Alison Lurie
9998,Alison Pick
9109,Alison Pollet
26179,Alison Prince
11985,Alison R. Lanier
24066,Alison Uttley
27489,Alison Watts
10103,Alison Weir
10423,Alison Wilgus
11220,Alissa Nutting
14866,Alistair Horne
6810,Alistair MacLean
4447,Alistair MacLeod
19059,Alistair Urquhart
744,Alister E. McGrath
14602,Alivia Anders
23357,Alix Cléo Roubaud
27697,Alix E. Harrow
4809,Alix Nichols
15426,Alix Strachey
23955,Alixa Garcia
28565,Aliza Fogelson
27692,Alka Joshi
26647,Alla Alekseyeva
13309,Alla Danishevsky
15545,Allan Ahlberg
1117,Allan Bloom
26979,Allan Campbell McLean
4441,Allan Frewin Jones
23371,Allan Gurganus
24620,Allan Heinberg
18946,Allan Miller
4265,Allan Pease
22399,Allan Silver
5481,Allan W. Eckert
16414,Allan Wolf
20016,Allan Zullo
22288,Allayne L. Webster
20719,Allee Willis
22704,Allegra Goodman
5400,Allen Ashley
24480,Allen Buchanan
25882,Allen Carr
20884,Allen Drury
27781,Allen Eskens
2331,Allen Ginsberg
2533,Allen Josephs
11911,Allen Kurzweil
5276,Allen Mandelbaum
5662,Allen Rucker
7546,Allen Zadoff
28554,Alli Frank
19314,Allie Brosh
496,Allie Burke
26245,Allie Jean
12185,Allison Althauser
475,Allison Brennan
24937,Allison DuBois
2962,Allison Hiroto
26175,Allison Hobbs
14227,Allison Kraft
20339,Allison Markin Powell
15975,Allison McLemore
25139,Allison Merritt
2777,Allison Pang
12943,Allison Pataki
27695,Allison Raskin
13705,Allison Rushby
1647,Allison Simon
8681,Allison Tebo
28722,Allison Winn Scotch
2356,Allison van Diepen
16352,Ally Blake
2763,Ally Carter
1519,Ally Condie
14077,Ally Kennen
6663,Ally Rose
25343,Allyson Bird
8642,Allyson James
27085,Allyson R. Abbott
7883,Alma Cuervo
5208,Alma Hudson
3225,Alma Katsu
13332,Almeida Garrett
2899,Almudena Grandes
27430,Alok Vaid-Menon
8983,Alonso Zamora Vicente
5986,Alper Canıgüz
15894,Alphonse Daudet
13160,Alphonso Lingis
10931,Alphonso Morgan
9240,Alton Brown
5717,Alton Raible
7684,Alva Dahl
14610,Alvah Simon
9901,Alvaro Armada
20176,Alvaro Armada Gonzalez
18994,Alvaro Cardona-Hine
12988,Alvaro Vargas Losa
11099,Alves Calado
22715,Alvin B. Yapan
8207,Alvin C. York
16979,Alvin Plantinga
11299,Alvin Toffler
26318,Alwi Alatas
15351,Alwyn Hamilton
10384,Aly Martinez
26872,AlyWasHere17
962,Alycia Linwood
8674,Alyloony
19193,Alyndria Mooney
23126,Alyne de Winter
24446,Alyson Gerber
220,Alyson Noel
10255,Alyson Richman
11095,Alyson Santos
3066,Alyssa B. Sheinmel
18440,Alyssa Brugman
27708,Alyssa Cole
937,Alyssa Day
18568,Alyssa Embree Schwartz
20931,Alyssa Palombo
12405,Alyssa Rae
5010,Alyssa Rose Ivy
25393,Alyssa Smith
1059,Alyxandra Harvey
7916,Alzir Hella
17088,AmBear Shellea
18160,Ama Ata Aidoo
28564,Amal El-Mohtar
23898,Amalia Carosella
13707,Amalia D'Agostino Schanzer
15572,Amalia Dulhan
28367,Amalie Jahn
25613,Amalie Silver
12114,Amami Takatsume
11334,Amanda   Bennett
23769,Amanda   Richardson
13958,Amanda  Bennett
27238,Amanda  Joy
28732,Amanda  Robson
21755,Amanda  Stone
27805,Amanda Aksel
11867,Amanda Ashby
4490,Amanda Ashley
8767,Amanda Bouchet
26884,Amanda Brown
11249,Amanda Coplin
12504,Amanda Cross
22589,Amanda Davis
12891,Amanda Deibert
3938,Amanda Dolan
13408,Amanda Elyot
19870,Amanda Eyre Ward
26622,Amanda Filipacchi
28339,Amanda Foody
4117,Amanda Frost
24216,Amanda Giasson
6590,Amanda Grange
6188,Amanda Heath
2976,Amanda Hocking
18628,Amanda Hodgkinson
28245,Amanda Hopkinson
17860,Amanda Howells
20008,Amanda L. Davis
22620,Amanda L.V. Shalaby
1561,Amanda Lindhout
13704,Amanda Lovelace
6277,Amanda Maciel
27331,Amanda Mariel
7823,Amanda Marrone
9759,Amanda Maxlyn
27517,Amanda McCrina
12873,Amanda Mcmurray
20351,Amanda Monjonell
21246,Amanda Palmer
